unity_timestamp_s,eye_timestamp_ns,Main_Camera_local_position_x,Main_Camera_local_position_y,Main_Camera_local_position_z,Main_Camera_local_rotation_x,Main_Camera_local_rotation_y,Main_Camera_local_rotation_z,Main_Camera_local_rotation_w,Checkerboard_Stimulus_world_position_x,Checkerboard_Stimulus_world_position_y,Checkerboard_Stimulus_world_position_z,Checkerboard_Stimulus_world_rotation_x,Checkerboard_Stimulus_world_rotation_y,Checkerboard_Stimulus_world_rotation_z,Checkerboard_Stimulus_world_rotation_w,message
6.2080886062,1001209356611287800,-1.1061630000,1.1827640000,-0.0022534350,0.0768724200,0.1351562000,0.0045550080,0.9878273000,-0.8384405000,1.0321220000,0.9493935000,0.0768724200,0.1351562000,0.0045550050,0.9878272000,
6.2189834062,1001209356626338000,-1.1061850000,1.1827750000,-0.0022862780,0.0768827600,0.1351071000,0.0045889160,0.9878330000,-0.8385524000,1.0321200000,0.9493840000,0.0768827700,0.1351071000,0.0045889140,0.9878330000,
6.2301957062,1001209356636417000,-1.1061900000,1.1827500000,-0.0022728870,0.0768112900,0.1350293000,0.0045948790,0.9878492000,-0.8387071000,1.0322340000,0.9494613000,0.0768113100,0.1350293000,0.0045948770,0.9878492000,
6.2413367062,1001209356646410100,-1.1061840000,1.1827740000,-0.0023144410,0.0768948800,0.1349525000,0.0045224410,0.9878535000,-0.8388621000,1.0320730000,0.9494356000,0.0768948800,0.1349525000,0.0045224400,0.9878535000,
6.2529253062,1001209356661377800,-1.1061850000,1.1827590000,-0.0023295170,0.0768148100,0.1349250000,0.0044514830,0.9878638000,-0.8389260000,1.0321950000,0.9494599000,0.0768148200,0.1349251000,0.0044514820,0.9878638000,
6.2635716062,1001209356671412300,-1.1061850000,1.1827630000,-0.0023432180,0.0768690500,0.1349095000,0.0043883080,0.9878620000,-0.8389669000,1.0320750000,0.9494379000,0.0768690500,0.1349095000,0.0043883080,0.9878620000,
6.2750801062,1001209356681457800,-1.1061690000,1.1827640000,-0.0023590980,0.0769184400,0.1348273000,0.0043609480,0.9878695000,-0.8391145000,1.0319690000,0.9494512000,0.0769184400,0.1348273000,0.0043609510,0.9878695000,
6.2856408062,1001209356691501400,-1.1061580000,1.1827850000,-0.0023687540,0.0770020900,0.1348260000,0.0043556960,0.9878632000,-0.8391075000,1.0318240000,0.9494165000,0.0770020900,0.1348260000,0.0043556960,0.9878632000,
6.2968253062,1001209356701484200,-1.1061510000,1.1828010000,-0.0023484190,0.0770269700,0.1348216000,0.0043995350,0.9878616000,-0.8391029000,1.0318030000,0.9494315000,0.0770269700,0.1348216000,0.0043995360,0.9878616000,
6.3080722062,1001209356711518700,-1.1061330000,1.1828430000,-0.0023782590,0.0770131200,0.1348095000,0.0044387380,0.9878642000,-0.8391029000,1.0318820000,0.9494125000,0.0770131300,0.1348095000,0.0044387400,0.9878643000,
6.3193949062,1001209356726624000,-1.1061260000,1.1828760000,-0.0023474460,0.0770278100,0.1348577000,0.0044189870,0.9878566000,-0.8390055000,1.0318830000,0.9494128000,0.0770278100,0.1348577000,0.0044189870,0.9878566000,
6.3301445062,1001209356736606100,-1.1061080000,1.1829000000,-0.0023466930,0.0769094200,0.1349083000,0.0043388810,0.9878592000,-0.8388995000,1.0321190000,0.9494227000,0.0769094300,0.1349083000,0.0043388800,0.9878592000,
