participant_id,session_label,session_start_utc,random_seed,mapping_version,sequence_index,total_planned_trials,condition_index,repetition,eye_presentation,angular_diameter_deg,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,stimulus_duration_s,noise_until_response,response_timeout_s,category_a_key,category_b_key,response_keys_swapped
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,67,105,5,9,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,68,105,7,15,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,69,105,2,7,BothEyes,60,8,0.24342386624268122,1,1,0,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,70,105,6,1,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,71,105,1,12,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,72,105,7,9,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,73,105,1,13,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,74,105,5,14,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,75,105,6,8,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,76,105,1,2,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,77,105,6,10,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,78,105,2,2,BothEyes,60,8,0.24342386624268122,1,1,0,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,79,105,7,1,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,80,105,5,7,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,81,105,5,2,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,82,105,7,13,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,83,105,5,5,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,84,105,6,14,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,85,105,4,10,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,86,105,6,13,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,87,105,7,11,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,88,105,6,12,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,89,105,3,3,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,90,105,1,8,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,91,105,4,15,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,92,105,6,15,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,93,105,3,15,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,94,105,4,7,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,95,105,4,11,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
